distanza_km,valore_merce_eur,peso_kg,fragile,numero_transiti,rischio_meteo,rischio_doganale,tracking_gps,modalità_trasporto,ritardo
2106,44555,5318,1,1,3,1,1,Strada,0
2320,119115,3639,1,1,4,5,1,Strada,0
1489,179475,5317,0,1,3,5,1,Strada,1
602,299509,4825,0,3,3,2,1,Ferrovia,1
765,208132,7226,0,1,2,4,1,Strada,1
1337,64471,5347,0,0,5,3,0,Mare,1
1763,58287,6989,0,5,2,3,0,Aereo,1
1933,117475,7612,1,1,2,2,0,Mare,1
1157,51151,7845,0,5,4,2,1,Mare,1
1391,68384,657,0,2,4,2,1,Strada,1
160,34541,4476,0,4,5,1,0,Ferrovia,0
300,73847,3977,0,3,1,1,1,Strada,1
2480,219171,6249,0,2,3,1,0,Aereo,1
2104,212811,5376,0,2,3,1,1,Ferrovia,1
508,214739,2202,0,0,2,2,0,Strada,1
1157,168813,596,0,0,2,2,0,Ferrovia,0
257,100919,7938,0,5,5,1,0,Aereo,1
949,217746,4938,1,5,3,1,1,Mare,1
71,195020,1954,1,3,2,5,0,Strada,1
459,62768,5524,0,3,2,4,0,Ferrovia,1
944,44262,1732,0,4,4,5,0,Strada,1
564,21605,538,0,1,1,4,1,Strada,1
858,79590,1872,0,3,5,1,0,Aereo,1
923,291375,7810,0,3,1,1,1,Aereo,1
63,80397,5672,0,5,1,1,0,Strada,0
1020,78123,3171,1,1,5,5,1,Strada,1
2184,276659,7304,0,4,3,2,1,Aereo,0
1610,279744,3824,1,0,2,4,0,Strada,1
1374,159964,6496,1,4,5,5,0,Strada,1
1316,169767,3122,1,1,2,1,1,Strada,1
2219,136501,3502,1,0,4,2,1,Mare,1
799,136678,699,1,0,1,5,1,Mare,1
734,115380,697,1,0,4,4,0,Aereo,0
1977,172206,5531,1,4,1,1,0,Strada,1
2406,157547,430,1,5,3,4,1,Aereo,0
744,153802,7883,1,1,5,1,0,Aereo,1
2385,153185,6355,0,4,3,1,0,Strada,1
356,152083,2116,0,4,1,3,0,Strada,1
2039,56746,7167,1,2,4,4,1,Ferrovia,1
711,174925,1913,1,3,1,2,0,Strada,1
598,299962,2340,1,4,3,1,0,Mare,1
361,169393,4274,0,2,3,2,1,Strada,1
1132,284453,1249,0,5,4,5,1,Aereo,1
1787,291320,4554,1,5,4,1,1,Mare,1
804,69879,4937,1,1,3,1,0,Strada,0
84,68592,3040,1,2,1,1,0,Aereo,1
494,221084,1157,1,4,1,2,0,Ferrovia,1
2190,198494,3497,1,1,5,3,1,Mare,1
2032,271728,271,1,2,3,4,1,Strada,1
1280,125555,7542,0,4,5,1,0,Aereo,1
402,19830,7668,0,1,3,4,0,Aereo,1
952,217897,1489,0,1,5,4,0,Strada,1
1405,253234,7874,1,3,2,4,1,Mare,1
1798,266735,6638,1,5,1,2,1,Strada,1
208,94878,667,0,4,1,4,0,Mare,1
2027,126407,5494,0,3,2,5,1,Aereo,0
1006,117869,2620,1,1,4,2,1,Strada,0
2121,258716,6359,0,1,2,2,0,Strada,1
453,284539,2805,0,2,1,5,0,Strada,1
565,17738,2840,0,3,3,3,0,Aereo,1
1437,134703,7876,0,0,5,3,0,Mare,1
1005,149977,3992,1,4,1,1,0,Strada,1
2249,20056,3359,1,5,2,3,0,Strada,0
1762,241746,7202,1,3,3,1,0,Mare,1
657,116316,4104,1,1,1,4,0,Strada,1
1323,167519,7106,0,2,2,1,1,Mare,0
1585,55418,5182,0,4,1,3,0,Mare,1
2432,27014,7948,0,5,2,1,1,Mare,1
1491,205071,7474,1,4,2,2,0,Mare,0
1847,239989,7731,1,2,1,3,1,Aereo,1
344,182350,7427,1,1,3,1,0,Aereo,1
804,264924,7701,1,5,1,3,1,Strada,1
1444,191330,6558,0,0,1,5,0,Mare,1
235,43192,274,1,2,3,3,0,Strada,1
1319,44923,7189,0,0,1,5,1,Strada,0
686,90196,2291,0,3,5,1,1,Mare,1
1341,3395,7413,0,4,5,5,1,Mare,1
579,229456,7617,1,5,5,3,0,Aereo,1
2118,72028,7989,1,1,2,2,1,Strada,1
843,243463,4202,0,0,4,5,1,Strada,1
2197,142056,3746,0,1,1,3,0,Strada,1
527,204400,6406,1,3,4,2,0,Mare,1
1672,256315,3400,1,0,5,4,0,Ferrovia,1
989,290068,3877,1,1,3,5,0,Mare,0
575,295721,1453,1,1,5,5,1,Mare,1
2431,139783,4262,0,3,1,1,0,Strada,1
51,86548,7668,0,2,4,4,0,Mare,0
424,258288,6792,0,5,4,1,1,Mare,1
2390,126093,459,0,3,2,1,0,Strada,1
602,236835,1966,0,0,3,3,1,Aereo,1
2415,207084,3488,0,0,5,1,1,Strada,0
1575,271398,7992,1,4,3,5,1,Mare,1
1901,230027,4117,0,1,1,1,1,Strada,1
430,209072,2909,1,5,2,2,0,Ferrovia,1
1696,249029,7122,1,0,5,5,0,Strada,1
63,210047,7330,0,2,1,3,1,Strada,1
553,131509,2033,1,2,3,1,1,Ferrovia,1
2328,238784,7381,0,3,2,2,0,Strada,1
2058,296107,2101,0,0,5,2,1,Mare,1
179,4273,3751,1,5,3,5,0,Strada,1
887,16330,72,1,5,5,1,0,Mare,1
2090,153566,3018,1,0,2,2,1,Mare,1
77,77422,794,1,4,2,1,0,Mare,1
2163,4212,651,1,4,3,5,1,Strada,1
1302,233131,3085,1,4,5,4,1,Aereo,1
310,88594,7984,1,0,4,2,0,Strada,1
2096,133152,7309,1,3,1,3,1,Mare,0
1522,295819,6662,1,5,2,1,0,Strada,1
1497,23007,5115,0,3,5,5,0,Ferrovia,1
509,114805,5324,0,3,3,5,0,Aereo,1
350,96815,1892,1,3,3,3,1,Strada,1
2384,263783,2724,1,2,2,4,0,Aereo,1
679,79038,6400,1,0,2,1,1,Strada,1
319,266880,7207,0,1,4,4,0,Aereo,1
2043,254506,4226,0,0,3,5,0,Strada,1
1678,17473,2712,1,3,5,2,1,Strada,1
1851,129771,532,1,2,1,4,1,Strada,1
911,126801,4086,1,2,1,2,0,Mare,1
1330,87623,2689,1,0,4,3,1,Strada,1
2230,226097,5576,0,1,5,5,1,Strada,1
1849,299964,7320,0,3,1,2,1,Mare,1
1756,216933,3361,1,2,1,1,1,Strada,1
2410,197879,7482,1,3,5,5,1,Strada,1
625,281558,4178,0,3,5,3,1,Aereo,0
2053,25220,6228,0,5,2,1,0,Aereo,1
1357,61531,5418,1,3,1,5,1,Mare,1
2006,174497,7193,1,4,1,4,1,Mare,1
2070,10387,7267,0,5,4,5,1,Strada,1
2262,246752,4425,0,3,2,1,0,Aereo,1
2402,77815,6153,0,3,2,2,1,Strada,0
1705,28584,3875,1,1,1,2,0,Strada,1
1629,45783,2249,0,5,3,5,1,Strada,1
1897,171881,1732,1,5,3,5,0,Mare,1
2253,186399,5720,0,1,5,3,0,Mare,0
1440,125494,4846,0,4,2,4,0,Ferrovia,1
1792,116814,3658,0,5,1,3,0,Strada,1
1975,251139,5925,1,4,1,3,0,Aereo,1
669,142929,6928,1,3,1,2,1,Mare,1
1324,174333,1068,0,2,4,2,1,Strada,0
1006,247509,5399,1,2,3,1,1,Mare,1
1989,14580,4810,0,0,4,3,0,Aereo,0
2431,19240,3020,1,2,1,1,0,Strada,1
1018,255351,1361,0,2,1,5,1,Strada,0
1366,255271,1468,0,1,2,1,1,Ferrovia,1
1093,81974,2550,1,0,2,2,1,Strada,1
331,74401,2717,0,0,3,3,1,Ferrovia,1
2216,214165,5202,1,1,5,2,1,Aereo,1
1108,165340,6084,0,2,1,5,1,Mare,0
247,266790,1436,1,2,2,4,0,Strada,1
1132,187443,5280,0,0,3,3,1,Strada,1
1234,249123,1194,0,2,4,2,0,Mare,0
1058,90460,2113,1,0,1,4,1,Strada,0
1279,52048,4884,0,2,5,5,0,Strada,1
1085,207518,1596,1,3,3,4,1,Strada,1
539,133850,6908,0,1,5,2,0,Strada,1
325,212912,6907,0,5,1,2,0,Strada,1
2339,267891,2195,0,4,3,5,0,Strada,1
1289,1045,2213,0,3,2,5,0,Aereo,1
1324,8758,3062,1,2,5,4,0,Mare,1
175,256397,5640,1,4,4,4,0,Ferrovia,1
266,155509,5608,1,5,4,2,1,Strada,0
1258,151657,7498,0,3,5,5,0,Aereo,1
1296,141926,4494,1,5,1,1,1,Mare,0
968,184148,4377,1,1,1,5,0,Mare,1
1367,149421,6142,0,4,1,3,1,Mare,0
2248,228300,3232,1,5,4,3,1,Aereo,1
2481,153420,3473,0,4,4,5,1,Strada,0
1711,166368,4051,0,1,2,4,1,Strada,1
357,20455,7229,1,5,1,3,0,Strada,1
1409,210896,7177,1,3,4,2,0,Strada,1
2019,232897,3609,1,4,4,2,0,Mare,1
941,89552,1606,1,5,1,2,0,Mare,0
424,41484,2736,0,1,1,5,0,Mare,0
2083,135476,2382,1,5,4,3,1,Strada,1
1414,169332,6116,0,5,5,4,1,Mare,1
178,101647,1706,1,3,4,2,0,Strada,1
1064,66642,6829,0,2,2,4,1,Strada,0
1849,212803,6088,1,0,3,2,1,Mare,1
1431,129824,594,1,2,1,5,0,Mare,1
566,249914,441,0,2,2,2,0,Mare,1
1568,292749,5339,1,0,5,5,0,Strada,1
135,111879,6270,1,5,3,3,0,Ferrovia,1
1248,121827,2038,1,2,4,3,0,Aereo,1
2408,268724,4135,1,2,1,4,0,Mare,1
1192,268544,346,0,1,4,2,1,Ferrovia,1
2043,171715,6523,0,1,2,3,0,Strada,1
2211,228257,1136,1,3,1,1,0,Strada,1
352,128319,4415,0,4,4,1,1,Ferrovia,0
637,107960,6409,1,5,1,4,0,Strada,1
1036,40015,3311,0,3,2,3,0,Strada,1
1913,204877,5244,0,1,4,5,1,Strada,1
394,146109,5855,0,1,3,1,0,Strada,0
863,263063,4655,1,0,5,3,0,Strada,1
2037,89754,6772,0,0,4,5,0,Mare,1
1360,222775,1166,0,1,1,2,1,Strada,0
2049,204225,1126,1,2,4,3,0,Strada,1
1727,153606,545,0,3,1,2,1,Mare,1
1377,223067,3045,1,1,2,1,0,Mare,1
1142,57879,143,0,5,5,2,1,Mare,0
2458,120894,4770,1,1,1,1,1,Aereo,1
1059,66839,4374,0,0,4,4,0,Strada,1
753,30756,6443,1,3,2,4,0,Strada,1
624,144755,5560,0,3,3,1,1,Mare,1
1658,181557,770,0,4,4,5,1,Strada,1
1162,230303,5125,1,1,5,4,1,Mare,1
737,150787,6375,0,4,2,5,0,Strada,1
538,93943,4412,0,0,4,5,0,Strada,0
1397,219188,5149,1,4,1,5,1,Strada,0
543,149188,4426,1,2,1,3,1,Strada,1
1717,37744,4076,0,1,1,3,0,Strada,0
1687,125697,4105,1,1,4,5,1,Strada,0
68,117072,5107,0,3,5,1,0,Ferrovia,1
2494,237028,6860,1,4,1,4,1,Ferrovia,1
1050,170123,1156,1,3,4,2,0,Mare,1
900,8176,5355,1,5,4,3,1,Ferrovia,1
1438,253365,3982,1,4,5,3,0,Aereo,1
1404,150748,3772,0,4,2,2,0,Strada,1
1417,46177,7784,1,0,2,5,1,Mare,1
871,111623,6724,0,4,4,2,1,Strada,1
504,1997,1421,0,3,2,5,1,Mare,1
1674,121179,472,0,5,3,3,0,Strada,1
760,248439,7174,0,4,5,2,1,Aereo,1
2240,121403,2055,0,4,4,1,0,Mare,0
966,96287,4599,1,1,2,4,0,Strada,0
1546,120574,6460,1,1,2,4,0,Aereo,1
1490,257463,4652,0,5,5,4,0,Aereo,1
354,122509,5311,0,1,1,2,0,Aereo,0
785,249505,4461,1,2,2,5,0,Aereo,1
2388,193589,5845,0,1,5,3,0,Mare,1
2013,290531,813,1,2,1,4,0,Strada,1
2199,5090,5401,0,5,4,2,1,Strada,1
2059,4743,3418,1,2,1,4,1,Strada,1
1011,31924,947,1,5,2,5,1,Strada,0
1076,142268,1002,0,3,4,1,1,Strada,1
2182,106312,2972,1,1,4,1,1,Mare,1
2425,217249,5741,0,4,1,3,0,Strada,1
1523,225090,7109,1,0,4,1,1,Strada,0
1997,230602,6215,1,4,1,1,1,Mare,1
1227,104976,4529,0,1,1,2,0,Strada,0
714,156183,3247,1,4,1,2,0,Strada,1
61,114566,4248,1,1,5,3,1,Strada,1
1206,258443,949,0,1,2,3,1,Strada,1
353,120968,4073,1,4,4,2,1,Ferrovia,0
1813,62600,6926,0,2,3,1,1,Mare,0
92,51022,4255,0,3,2,5,0,Strada,1
993,135271,3691,1,3,3,1,1,Strada,0
2440,124323,3593,0,3,1,1,1,Strada,1
1399,187110,7282,1,3,4,5,0,Mare,1
2461,121278,5641,1,0,2,3,1,Ferrovia,1
940,271041,3691,0,5,3,2,0,Strada,1
1054,65541,4815,1,1,3,3,0,Mare,1
70,107968,7293,1,0,3,3,0,Strada,1
456,15892,3140,1,3,2,3,0,Mare,0
1064,25815,4529,0,3,5,2,0,Strada,1
385,279411,6166,0,4,1,3,1,Strada,1
1888,281412,6383,1,3,4,3,1,Mare,1
1197,115463,811,0,1,3,4,0,Strada,1
2496,191732,2457,1,3,2,1,1,Mare,1
1877,197599,7068,1,3,3,4,0,Ferrovia,1
764,195451,935,0,0,2,2,0,Strada,1
100,173343,7669,0,1,5,5,1,Strada,1
373,139307,6272,0,2,3,5,1,Strada,1
838,89757,2693,1,4,3,4,1,Strada,1
190,297753,3293,0,2,4,4,1,Mare,1
519,255200,1285,1,5,2,4,1,Strada,0
836,24645,2983,1,0,2,1,0,Mare,1
1875,196630,5160,1,3,5,2,1,Mare,1
1407,155473,1518,0,4,3,3,1,Strada,1
1966,270915,6342,0,5,4,4,1,Mare,1
1013,152460,59,0,5,1,1,1,Ferrovia,0
422,84251,5711,1,1,4,5,1,Strada,1
1742,58042,841,1,4,4,5,1,Mare,1
1229,197945,6113,0,5,4,5,0,Mare,1
2388,48024,5224,0,0,4,4,0,Mare,0
1721,155522,7065,0,3,3,5,0,Strada,1
155,57965,1712,0,0,4,5,0,Aereo,1
1493,273201,6373,0,5,2,5,0,Mare,1
1731,225321,793,0,1,2,3,1,Strada,1
51,272127,2478,0,2,4,5,0,Mare,1
2187,20995,3543,0,3,2,1,1,Ferrovia,1
399,115587,4596,0,3,3,4,0,Aereo,1
1336,234076,1166,1,0,1,3,0,Ferrovia,1
1112,223700,7737,0,0,4,3,1,Strada,1
2256,39886,7630,0,0,2,4,1,Strada,1
2409,96149,7976,1,5,2,5,0,Mare,1
494,95020,2491,1,3,3,5,0,Strada,1
2395,3673,7158,1,0,3,2,0,Mare,1
1001,24466,1404,1,4,1,5,1,Strada,0
85,238626,5877,1,5,5,1,0,Strada,1
1157,51406,2530,1,5,5,5,1,Mare,1
1525,70284,3051,1,4,5,4,1,Strada,1
1848,236718,1236,0,4,1,5,1,Strada,1
1895,14665,7139,0,5,4,4,1,Aereo,0
1458,21641,7257,0,3,5,3,1,Aereo,1
1245,36797,6959,1,0,5,2,1,Mare,0
1449,216838,4137,0,1,2,3,0,Mare,1
1758,103339,5053,1,0,2,4,1,Strada,1
1435,114431,6278,0,3,4,2,0,Strada,0
2238,233275,2881,1,4,3,3,1,Strada,1
1350,284317,3711,0,3,1,5,0,Aereo,1
1293,145294,1798,0,0,5,5,1,Strada,1
570,182136,2913,0,3,1,2,1,Mare,1
1856,169082,7984,0,1,2,3,0,Strada,1
59,254301,1164,0,3,1,1,1,Aereo,0
1033,19095,5653,0,2,2,1,0,Strada,1
2475,124554,7602,0,3,1,1,1,Mare,1
1706,235989,3314,1,0,2,3,0,Aereo,1
1710,90023,5422,1,2,1,3,0,Mare,1
2249,108181,5959,0,4,5,3,1,Mare,1
769,223310,5824,0,0,5,4,1,Mare,1
1122,283744,5413,0,5,4,1,0,Mare,1
908,265610,7941,0,1,1,1,1,Strada,0
1366,257349,6900,1,3,3,1,0,Strada,1
1653,177169,6463,1,3,4,4,0,Mare,1
99,54276,7034,0,0,1,4,0,Ferrovia,0
195,270072,3140,0,3,3,3,0,Mare,1
964,206719,1113,0,3,5,1,1,Mare,1
1512,172960,5779,0,4,5,1,1,Mare,1
2339,227097,6709,1,3,5,5,1,Ferrovia,1
630,175904,5202,1,3,3,5,1,Aereo,1
1634,117196,3798,1,4,2,5,0,Mare,1
532,10404,4595,1,5,1,4,0,Strada,1
1299,210190,7756,0,3,4,3,0,Strada,1
722,114187,2782,1,5,4,2,1,Strada,1
680,28684,1922,0,4,5,1,0,Aereo,1
711,69591,4770,1,1,2,5,0,Strada,1
1037,209794,2019,1,3,1,1,0,Mare,1
1596,265826,934,0,0,1,1,1,Ferrovia,1
699,112186,4013,1,2,4,1,1,Aereo,1
1018,244181,3728,0,1,4,3,1,Aereo,1
1150,22832,368,0,3,4,1,1,Strada,1
490,17997,3866,0,0,1,3,0,Strada,1
970,297784,3767,0,2,4,2,1,Strada,1
819,41491,3245,0,4,1,2,0,Mare,1
1393,64043,5541,1,3,5,4,1,Strada,0
1876,129568,1424,1,5,2,1,0,Strada,1
312,73725,5492,0,5,4,5,0,Mare,0
1627,129131,537,0,4,1,4,1,Strada,1
1048,46520,500,0,1,5,4,1,Mare,1
749,110869,402,0,5,3,2,0,Mare,1
2399,65442,5285,1,2,5,5,0,Mare,1
1653,262025,7148,0,5,2,1,0,Ferrovia,1
1291,153842,7230,1,2,5,1,1,Strada,1
1175,179570,1990,1,5,4,2,1,Strada,1
2385,124447,2417,0,4,4,3,1,Strada,1
1240,62477,3286,1,4,3,2,1,Mare,1
1055,1244,7937,0,5,1,5,0,Aereo,1
85,178561,6278,0,1,5,3,1,Ferrovia,1
793,291534,297,1,0,3,5,1,Ferrovia,1
1814,11247,3553,0,5,4,1,1,Mare,1
402,201123,617,0,3,1,3,0,Mare,1
1972,191791,733,1,0,1,5,1,Mare,1
122,208358,7870,1,5,2,1,1,Strada,1
1426,292727,693,1,2,4,5,0,Strada,1
1964,140148,528,0,3,1,3,0,Strada,1
1143,147123,2810,1,1,2,1,1,Strada,0
757,29670,4513,1,0,2,5,1,Strada,1
1854,11236,5990,1,0,4,4,1,Aereo,0
1005,36568,4502,1,3,1,3,1,Aereo,1
209,108327,6601,0,1,1,3,1,Mare,0
2246,256745,1418,1,5,5,3,1,Strada,1
1785,279496,2276,1,1,1,1,0,Mare,0
1635,126721,3546,0,5,2,3,1,Mare,1
116,260291,3662,1,0,3,5,0,Strada,1
2478,157228,5612,1,5,4,4,0,Mare,1
107,56904,4057,0,0,3,5,1,Aereo,1
391,279252,1892,0,4,1,5,0,Aereo,1
1203,265997,3427,0,3,2,3,0,Strada,1
1245,267320,2464,0,1,3,4,0,Strada,1
1282,101459,1109,0,2,4,4,0,Strada,1
2451,186922,6656,1,3,5,4,0,Ferrovia,1
1544,138901,1694,1,5,3,4,1,Aereo,1
1871,124225,4973,1,4,5,2,1,Strada,1
165,236847,5315,1,3,1,4,0,Aereo,1
711,222738,1861,0,0,1,3,0,Strada,1
1515,111893,6070,0,3,4,4,1,Mare,0
1918,243726,2243,0,5,5,5,1,Aereo,1
2384,197914,2477,1,3,5,2,1,Mare,1
1066,182880,217,0,3,4,5,1,Strada,1
360,7611,7986,0,5,3,3,0,Strada,1
257,248524,7492,1,2,4,3,0,Strada,1
682,296187,4232,0,4,1,4,1,Aereo,1
2152,137343,203,0,3,5,3,0,Aereo,1
706,191191,2594,1,3,2,2,0,Aereo,1
1473,143645,3918,1,2,2,5,1,Strada,0
1981,153481,364,0,1,1,3,1,Aereo,1
1729,287608,6000,1,3,5,3,0,Strada,0
286,250220,7827,0,5,5,2,1,Strada,1
397,119523,772,1,5,4,1,0,Mare,1
679,21662,6127,1,3,3,1,1,Strada,0
1590,281372,3681,1,1,4,2,0,Strada,1
2053,61721,5999,1,5,2,3,1,Strada,1
1321,139458,3395,0,3,5,2,0,Mare,1
413,270006,5875,0,3,3,2,1,Strada,0
2418,41108,2861,0,3,4,1,1,Strada,0
335,92788,2359,1,4,3,4,0,Strada,1
198,245437,6680,0,5,2,3,1,Strada,1
1157,238011,2551,1,0,3,5,0,Mare,0
505,159273,6636,0,4,5,2,1,Ferrovia,1
1816,50966,3383,1,1,3,1,0,Strada,1
849,186846,6736,1,4,3,4,1,Ferrovia,0
1234,273530,5274,1,4,4,3,1,Strada,1
1062,78228,2073,0,2,3,2,0,Strada,1
1573,147297,399,0,1,3,1,0,Mare,1
530,44021,873,0,1,2,2,0,Mare,1
1736,150333,487,0,1,3,5,1,Strada,1
2211,253646,6150,1,4,4,3,0,Strada,1
1651,87755,218,1,1,4,3,1,Aereo,1
2458,67330,3869,1,5,5,3,0,Ferrovia,1
390,179438,3464,1,2,2,3,0,Ferrovia,1
2060,46313,3351,0,3,1,1,1,Mare,1
1916,235729,4168,0,4,5,5,1,Mare,1
884,233783,3085,1,3,3,2,0,Aereo,1
1253,290176,6869,0,3,2,1,0,Aereo,1
1775,149430,4426,1,4,5,4,1,Ferrovia,1
1739,29365,3640,1,5,4,3,1,Aereo,0
360,276333,2819,1,4,2,3,0,Mare,1
311,8248,2350,0,1,2,2,1,Strada,1
1492,5369,4549,1,2,3,3,1,Mare,0
455,291749,2230,0,4,2,3,0,Aereo,1
2240,172955,3395,1,3,2,2,1,Strada,1
391,34055,2715,0,4,1,5,0,Strada,1
1389,200803,281,0,2,3,1,1,Strada,1
293,270594,2642,1,0,2,5,0,Ferrovia,1
539,134997,4224,1,5,2,2,1,Aereo,1
61,51272,1108,0,3,1,3,0,Strada,0
610,6310,2592,0,0,1,3,1,Strada,0
91,32817,1183,0,0,4,5,1,Mare,1
643,216888,5490,1,2,3,4,0,Mare,1
1502,83641,3696,1,5,1,1,1,Strada,1
1876,216155,2425,0,4,2,3,0,Ferrovia,1
1743,208382,7160,0,0,1,2,1,Mare,1
183,16457,3930,0,1,5,5,1,Mare,1
997,43311,2787,1,4,4,1,0,Aereo,0
122,152958,2481,1,5,4,4,1,Strada,0
448,124573,1437,0,3,3,3,0,Mare,1
1478,299325,3353,0,4,4,5,0,Mare,1
179,165334,5785,1,2,3,3,0,Ferrovia,1
1861,264272,1487,1,2,5,5,0,Strada,1
2051,80522,3415,0,3,2,4,0,Aereo,1
315,164394,4692,0,3,5,2,1,Mare,1
1610,49929,1779,0,3,3,2,1,Aereo,1
2035,82696,7391,1,2,3,1,1,Aereo,1
842,272952,2489,0,5,3,3,0,Strada,1
2350,96148,3223,0,5,2,3,0,Strada,1
1362,284869,3957,0,4,3,3,1,Strada,1
213,221026,1366,1,0,5,2,0,Strada,0
144,84576,5254,1,0,2,1,0,Ferrovia,1
1855,21557,5054,1,1,5,2,1,Strada,1
1183,22825,5370,0,2,2,5,0,Strada,1
2433,272142,734,1,3,3,3,0,Aereo,1
871,37080,2638,1,5,2,5,1,Ferrovia,1
287,259815,6490,1,4,1,4,0,Mare,1
2478,189869,6249,1,5,5,5,0,Aereo,1
2010,147874,3593,1,2,1,5,0,Strada,0
1098,43407,3137,0,1,1,5,1,Strada,0
1726,121283,1725,0,5,3,2,0,Strada,1
1013,14338,2163,0,0,3,5,1,Mare,1
586,77289,1007,0,4,1,3,0,Strada,0
1653,150967,5828,0,0,2,1,0,Strada,1
2029,179982,7887,1,4,3,4,1,Strada,1
177,110367,3593,1,3,5,3,1,Strada,0
141,118486,6078,0,4,1,1,0,Strada,1
592,215209,5750,1,3,5,3,1,Ferrovia,0
895,257055,3144,0,2,5,5,1,Ferrovia,0
1731,137421,4847,0,0,5,4,1,Strada,1
1901,154535,2857,1,4,1,3,0,Strada,1
439,75935,6679,0,4,4,4,0,Aereo,1
1934,190864,7632,1,1,3,2,0,Strada,1
92,276830,870,0,0,5,2,0,Ferrovia,1
303,64528,937,1,2,1,5,1,Strada,1
1133,100811,3778,1,3,4,5,1,Mare,1
2384,285931,6065,1,2,1,2,0,Aereo,1
1590,189499,5474,1,1,3,3,1,Strada,0
2003,261141,6370,1,2,1,1,1,Strada,1
2442,105887,6388,1,3,2,1,1,Aereo,1
691,62086,4043,0,0,2,2,1,Ferrovia,0
2479,256494,3134,0,5,5,1,0,Mare,1
739,64308,925,1,1,1,3,1,Aereo,0
1326,278941,4311,1,4,1,1,1,Ferrovia,1
2000,268446,5319,0,4,5,1,1,Strada,0
1129,39059,7558,0,0,5,2,1,Strada,0
1536,132980,4046,0,5,4,4,0,Strada,1
506,192324,606,0,2,1,4,0,Strada,1
1032,144949,5343,0,4,3,3,0,Mare,1
2180,277383,2264,1,1,3,4,0,Strada,1
1172,28313,758,0,5,3,5,0,Strada,0
198,43103,767,0,3,5,2,1,Strada,1
1402,180480,3715,0,2,5,4,1,Strada,1
1229,89771,5749,1,5,5,1,1,Strada,1
239,127228,2194,0,3,3,4,0,Strada,1
932,92665,6872,0,5,4,2,0,Aereo,1
2360,273678,6597,1,5,2,1,1,Aereo,1
449,280333,5246,1,2,1,1,0,Aereo,1
658,87067,2069,0,1,2,2,1,Aereo,1
1845,274111,5406,1,3,1,3,1,Ferrovia,1
1688,214063,3829,0,1,5,3,0,Strada,1
1625,271804,340,0,3,3,2,1,Ferrovia,1
2198,130909,2233,1,2,2,2,1,Mare,0
1432,141688,3929,0,1,5,2,1,Strada,1
1453,76976,2986,1,2,1,1,0,Mare,1
869,234208,7074,1,5,2,1,0,Strada,1
869,180810,2464,1,5,2,2,0,Strada,1
469,276251,6741,1,2,2,1,1,Strada,1
173,193476,7095,0,3,2,5,0,Strada,1
471,95182,2345,0,5,2,2,1,Aereo,1
1558,244153,2863,0,3,5,1,1,Strada,1
1647,279098,1287,1,1,1,3,0,Aereo,1
817,280087,7981,0,4,1,2,0,Strada,1
2094,41725,2167,1,5,4,2,1,Strada,1
2252,11110,4891,0,5,3,2,0,Strada,1
2189,279606,3093,1,0,2,4,0,Aereo,1
1599,186153,6522,0,3,1,2,1,Ferrovia,0
1814,67567,3137,0,2,3,3,0,Strada,1
2094,183296,3608,1,0,3,1,1,Ferrovia,1
559,114394,5343,0,1,5,2,0,Aereo,1
1256,149940,748,1,0,2,5,0,Strada,1
435,23222,2903,1,0,4,1,1,Strada,1
1647,80794,3858,0,4,3,3,1,Aereo,1
2343,64924,6467,0,4,5,4,1,Mare,0
791,100854,4669,0,0,2,3,1,Mare,0
1961,261038,1895,1,4,1,4,0,Strada,0
1496,244815,6412,1,4,4,1,0,Strada,1
950,234127,5169,1,0,2,4,0,Strada,0
2162,142295,4064,1,3,5,1,1,Mare,0
2310,180238,6706,1,4,5,3,0,Aereo,1
2059,40369,7616,1,0,5,3,1,Aereo,1
291,275805,3232,1,3,5,4,1,Mare,1
2435,147663,6156,1,5,5,5,1,Strada,1
2070,187307,513,1,4,4,3,0,Strada,1
222,271114,3910,0,0,3,4,0,Aereo,1
721,48922,5810,1,4,3,2,1,Strada,0
213,293899,7310,1,3,1,1,1,Mare,0
514,121926,500,0,0,3,2,1,Strada,0
546,20416,5565,0,3,5,2,0,Strada,0
749,14672,1965,1,5,3,2,1,Strada,1
2492,129145,973,0,2,3,4,1,Aereo,1
752,179068,3672,0,1,5,3,1,Mare,1
1990,1064,7126,1,2,4,2,0,Mare,1
2405,69835,6672,1,4,5,4,0,Ferrovia,0
1841,202457,365,0,3,3,3,1,Strada,0
232,248795,4816,1,0,3,1,1,Strada,1
678,117916,4843,0,3,1,3,1,Strada,0
1781,196346,5138,1,4,5,3,0,Strada,1
595,274010,1426,1,0,1,2,0,Aereo,1
1637,4889,2865,0,2,1,4,1,Aereo,0
673,119194,1312,0,3,2,5,0,Mare,1
643,125714,1177,0,1,1,1,1,Mare,1
793,32335,5052,0,5,3,4,0,Aereo,1
1818,51547,2975,0,5,3,2,1,Mare,1
1509,158234,1102,1,4,2,4,0,Strada,1
1998,221521,4234,1,4,2,5,1,Mare,1
2118,156759,2472,0,3,5,1,1,Aereo,0
2494,274139,3518,0,2,2,3,1,Mare,0
154,3631,5732,0,2,4,1,0,Strada,1
2289,138039,4509,1,1,3,5,1,Strada,1
66,65471,4071,1,1,3,1,1,Strada,1
442,134014,6340,0,3,2,1,1,Strada,0
